case_id,case_type,case_timestamp,C_phi,shell_grid_count,QC_Status
1989010S15063,TC,1989-01-10T06:00:00,0.6138607291653483,93,PASSED
2001039S13117,TC,2001-02-07T18:00:00,0.7066494457659336,92,PASSED
2020355S11065,TC,2020-12-20T06:00:00,0.7783085407188436,86,PASSED
2008290S05071,TC,2008-10-15T18:00:00,0.9240973442562008,88,PASSED
1992048S18067,TC,1992-02-16T12:00:00,0.6720982508733567,94,PASSED
2002247S03067,TC,2002-09-04T06:00:00,0.6533981275707645,89,PASSED
2022008S13148,TC,2022-01-08T00:00:00,0.8522791656161618,89,PASSED
2017332S08098,TC,2017-11-27T12:00:00,0.8698188105241491,89,PASSED
1994362S11054,TC,1994-12-27T18:00:00,0.6080195983561526,92,PASSED
1988138S07092,TC,1988-05-17T03:00:00,0.6493389493102298,88,PASSED
1981069S12135,TC,1981-03-09T20:00:00,0.8455445852160415,86,PASSED
2008023S10050,TC,2008-01-22T18:00:00,0.8313249795787293,91,PASSED
2007066S12066,TC,2007-03-07T00:00:00,0.607872609230781,86,PASSED
2003098S23041,TC,2003-04-08T00:00:00,0.7082976611543651,94,PASSED
2013041S10087,TC,2013-02-09T12:00:00,0.941548480427398,88,PASSED
2023013S08081,TC,2023-01-13T06:00:00,0.889393200775604,89,PASSED
2020053S12119,TC,2020-02-22T00:00:00,0.6352964307690089,92,PASSED
2025017S18122,TC,2025-01-17T00:00:00,0.8121610393213079,93,PASSED
2020034S17129,TC,2020-02-03T00:00:00,0.8080995701683419,93,PASSED
1993348S13120,TC,1993-12-14T06:00:00,0.6780492744762002,91,PASSED
2002023S10089,TC,2002-01-22T12:00:00,0.617105905500675,90,PASSED
1996098S13085,TC,1996-04-06T12:00:00,0.6557238239398204,90,PASSED
1984339S05102,TC,1984-12-03T18:00:00,0.6344647190167898,89,PASSED
1995017S10078,TC,1995-01-16T18:00:00,0.7350143765922408,92,PASSED
2004025S16044,TC,2004-01-24T12:00:00,0.9042576520117597,93,PASSED
2013052S13126,TC,2013-02-21T06:00:00,0.6119292550169917,92,PASSED
1988310S08100,TC,1988-11-05T06:00:00,0.9110687068159782,91,PASSED
2006081S14129,TC,2006-03-22T00:00:00,0.7742137320697546,92,PASSED
2009342S09140,TC,2009-12-08T00:00:00,0.7093723226210028,88,PASSED
2002063S11066,TC,2002-03-03T12:00:00,0.7290640993856224,89,PASSED
2000060S17123,TC,2000-02-28T22:00:00,0.6155313482943457,93,PASSED
2014007S11104,TC,2014-01-07T06:00:00,0.5678325124615002,90,PASSED
2003062S10080,TC,2003-03-03T06:00:00,0.6398538016809778,86,PASSED
2024313S06092,TC,2024-11-08T06:00:00,0.7664357095750219,87,PASSED
2008062S10064,TC,2008-03-02T06:00:00,0.6732146736475069,89,PASSED
1994064S13099,TC,1994-03-05T00:00:00,0.6948331171660094,90,PASSED
2018025S09080,TC,2018-01-25T06:00:00,0.9020364735752807,88,PASSED
1992096S08132,TC,1992-04-04T18:00:00,0.6106113083282037,88,PASSED
2003088S07131,TC,2003-03-29T06:00:00,0.6431936859788617,89,PASSED
2002033S13121,TC,2002-02-02T04:00:00,0.7584137495161736,89,PASSED
2018073S09129,TC,2018-03-14T00:00:00,0.7532401520637315,92,PASSED
2025039S14125,TC,2025-02-08T00:00:00,0.6525349842289674,86,PASSED
1992096S05101,TC,1992-04-05T06:00:00,0.5854357536353365,91,PASSED
1994197N14115,TC,1994-07-16T06:00:00,0.6207267143791633,91,PASSED
2013158N13129,TC,2013-06-06T18:00:00,0.740822801376802,88,PASSED
2003196N11137,TC,2003-07-14T12:00:00,0.5898997855073338,89,PASSED
1999204N17117,TC,1999-07-23T00:00:00,0.5470969149559362,91,PASSED
2025191N19142,TC,2025-07-09T18:00:00,0.6396841983427444,95,PASSED
1992279N08175,TC,1992-10-05T00:00:00,0.6543907544532263,88,PASSED
2017209N19118,TC,2017-07-27T12:00:00,0.8061895694249449,95,PASSED
2018251N20122,TC,2018-09-08T06:00:00,0.8069020772102058,91,PASSED
2019236N08143,TC,2019-08-24T06:00:00,0.785834034654619,88,PASSED
2014160N21120,TC,2014-06-09T00:00:00,0.5793567502823582,94,PASSED
2009213N16130,TC,2009-07-31T12:00:00,0.8133121989775506,92,PASSED
2015274N17167,TC,2015-10-01T06:00:00,0.8227178467423795,89,PASSED
2008226N22134,TC,2008-08-12T18:00:00,0.7615416258300802,93,PASSED
1988356N05142,TC,1988-12-21T06:00:00,0.6361072183662718,92,PASSED
1990216N29125,TC,1990-08-04T00:00:00,0.6493643001135462,98,PASSED
2014093N02148,TC,2014-04-02T18:00:00,0.7273708328526736,86,PASSED
